asset_id,period_index,cpu_pct,power_watts,data_quality
ASSET-PAY-001-PROD,1,40,300,0.98
ASSET-PAY-001-PROD,2,42,305,0.98
ASSET-PAY-001-PROD,3,41,302,0.98
ASSET-PAY-001-PROD,4,43,308,0.98
ASSET-PAY-001-PROD,5,44,310,0.98
ASSET-PAY-001-PROD,6,45,312,0.98
ASSET-PAY-001-UAT,1,12,150,0.96
ASSET-PAY-001-UAT,2,11,148,0.96
ASSET-PAY-001-UAT,3,10,145,0.96
ASSET-PAY-001-UAT,4,9,143,0.96
ASSET-PAY-001-UAT,5,11,146,0.96
ASSET-PAY-001-UAT,6,10,144,0.96
ASSET-PAY-002-PROD,1,20,120,0.95
ASSET-PAY-002-PROD,2,21,125,0.95
ASSET-PAY-002-PROD,3,19,118,0.95
ASSET-PAY-002-PROD,4,22,123,0.95
ASSET-PAY-002-PROD,5,20,121,0.95
ASSET-PAY-002-PROD,6,65,280,0.95
ASSET-PAY-003-TEST,1,18,90,0.80
ASSET-PAY-003-TEST,2,17,88,0.80
ASSET-PAY-003-TEST,3,16,86,0.80
